,EpochLoss
0,7.21943473815918
1,4.583128929138184
2,2.473184823989868
3,1.1912596225738525
4,0.4282713532447815
5,0.12983089685440063
6,0.0802278146147728
7,0.0842117965221405
8,0.082215316593647
9,0.07132867723703384
10,0.05642484128475189
11,0.044559817761182785
12,0.03270062804222107
13,0.02123180218040943
14,0.015363525599241257
15,0.013966212049126625
16,0.012896379455924034
17,0.00950956903398037
18,0.0045793852768838406
19,0.00238154549151659
20,0.001123715308494866
21,0.0005565122119151056
22,0.00032146309968084097
23,0.00025823150645010173
24,0.000260160188190639
25,0.00030151617829687893
26,0.00029173382790759206
27,0.0002106859756167978
28,0.0001433358556823805
29,9.014039824251086e-05
30,6.422057776944712e-05
31,5.163821697351523e-05
32,4.221137351123616e-05
33,3.4256190701853484e-05
34,2.7725021936930716e-05
35,2.2838996301288716e-05
36,1.9542003428796306e-05
37,1.738593891786877e-05
38,1.583669290994294e-05
39,1.4515142538584769e-05
40,1.3247282367956359e-05
41,1.1992769032076467e-05
42,1.0780900993268006e-05
43,9.652841072238516e-06
44,8.633482138975523e-06
45,7.727030606474727e-06
46,6.922056400071597e-06
47,6.207161732163513e-06
48,5.5772638916096184e-06
49,5.026134658692172e-06
50,4.550070116238203e-06
51,4.140621058468241e-06
52,3.790325536101591e-06
53,3.4901995604741387e-06
54,3.232202061553835e-06
55,3.006666474902886e-06
56,2.8087131340726046e-06
57,2.630389190017013e-06
58,2.4693167688383255e-06
59,2.3227589736052323e-06
60,2.188770395150641e-06
61,2.0644622509280453e-06
62,1.9498779693094548e-06
63,1.8453348502589506e-06
64,1.7463557924202178e-06
65,1.656098902458325e-06
66,1.5728684275018168e-06
67,1.4958616247895407e-06
68,1.4252793789637508e-06
69,1.358653889838024e-06
70,1.2986278079551994e-06
71,1.2420847497196519e-06
72,1.1914979722860153e-06
73,1.143795088864863e-06
74,1.1005259921148536e-06
75,1.0597261734801577e-06
76,1.0223776598650147e-06
77,9.871232578007039e-07
78,9.54966822064307e-07
79,9.252691484107345e-07
80,8.966901532403426e-07
81,8.707253869033593e-07
82,8.473379011775251e-07
83,8.237896622631524e-07
84,8.026433988561621e-07
85,7.824641556908318e-07
86,7.641715455974918e-07
87,7.463289648512728e-07
88,7.291585575330828e-07
89,7.133490953492583e-07
90,6.984138281040941e-07
91,6.841061690465722e-07
92,6.713553943882289e-07
93,6.580306148862292e-07
94,6.455349534917332e-07
95,6.34803598131839e-07
96,6.232340297174233e-07
97,6.12234771324438e-07
98,6.017987743689446e-07
99,5.933310944783443e-07
100,5.835300953549449e-07
101,5.747453997173579e-07
102,5.667372420248284e-07
103,5.583212328019727e-07
104,5.502013777913817e-07
105,5.426105644801282e-07
106,5.350710239326872e-07
107,5.273476517686504e-07
108,5.210851554693363e-07
109,5.141602059666184e-07
110,5.075118565400771e-07
111,5.01376405281917e-07
112,4.948057039655396e-07
113,4.896847940472071e-07
114,4.836545031139394e-07
115,4.776555897478829e-07
116,4.723945323803491e-07
117,4.67633668677081e-07
118,4.6195845015972736e-07
119,4.572506497879658e-07
120,4.52333040357189e-07
121,4.4720314917867654e-07
122,4.4256793785280024e-07
123,4.3818997141897853e-07
124,4.3359816004340246e-07
125,4.2926131982312654e-07
126,4.240011719502945e-07
127,4.208813493278285e-07
128,4.173076888491778e-07
129,4.132808726353687e-07
130,4.0950516222437727e-07
131,4.0433175740872684e-07
132,4.012944430087373e-07
133,3.9803757090339786e-07
134,3.93851820490454e-07
135,3.901515412962908e-07
136,3.874075957810419e-07
137,3.8373474353647907e-07
138,3.8031052440601343e-07
139,3.7760440818601637e-07
140,3.739688168025168e-07
141,3.705804374476429e-07
142,3.676747155623161e-07
143,3.640728891696199e-07
144,3.616604828948766e-07
145,3.585520573778922e-07
146,3.5545340892895183e-07
147,3.523649070302781e-07
148,3.497578973110649e-07
149,3.473960532573983e-07
150,3.445707079663407e-07
151,3.419914946789504e-07
152,3.3942149002541555e-07
153,3.3638769991739537e-07
154,3.338347198678093e-07
155,3.312892999929318e-07
156,3.285165348643204e-07
157,3.259885090756143e-07
158,3.237026646729646e-07
159,3.2142440886673285e-07
160,3.198617548605398e-07
161,3.168911462125834e-07
162,3.1534287359136215e-07
163,3.123871010757284e-07
164,3.10145054527311e-07
165,3.083814306137356e-07
166,3.0521067628797027e-07
167,3.0322428301587934e-07
168,3.017163976437587e-07
169,2.9997866590747435e-07
170,2.9777598342661804e-07
171,2.9581488547592016e-07
172,2.931522544713516e-07
173,2.9120266731297306e-07
174,2.897303659210593e-07
175,2.88263976244707e-07
176,2.8609574087568035e-07
177,2.8464046408771537e-07
178,2.8201188229104446e-07
179,2.805675478612102e-07
180,2.7842017402690544e-07
181,2.7698536086973036e-07
182,2.7484932729748834e-07
183,2.7318893103256414e-07
184,2.710627029500756e-07
185,2.6988340096067986e-07
186,2.6918070261672256e-07
187,2.665962028913782e-07
188,2.642524918883282e-07
189,2.6332713787269313e-07
190,2.6193495727966365e-07
191,2.6031185029751214e-07
192,2.5774986056603666e-07
193,2.5660651203907037e-07
194,2.5570321326995327e-07
195,2.5409676140952797e-07
196,2.520233124414517e-07
197,2.504248755030858e-07
198,2.4906600515350874e-07
199,2.4723988190089585e-07
