,EpochLoss
0,7.1830668449401855
1,4.554725170135498
2,2.449408531188965
3,1.1849621534347534
4,0.4235984683036804
5,0.13316695392131805
6,0.0906875804066658
7,0.09533292800188065
8,0.09484768658876419
9,0.08359543979167938
10,0.0719287171959877
11,0.0598272830247879
12,0.048878442496061325
13,0.038400210440158844
14,0.025032231584191322
15,0.018898814916610718
16,0.01679590716958046
17,0.016766969114542007
18,0.014157715253531933
19,0.008471313863992691
20,0.0032526899594813585
21,0.0011120790150016546
22,0.0006147957174107432
23,0.0008489450556226075
24,0.0009234098833985627
25,0.0006719186785630882
26,0.0003602020151447505
27,0.00019906579109374434
28,0.00015654214075766504
29,0.00013981499068904668
30,9.150476398644969e-05
31,4.7307265049312264e-05
32,2.6331279514124617e-05
33,1.941565642482601e-05
34,1.8365346477366984e-05
35,1.9580867956392467e-05
36,2.167069942515809e-05
37,2.4016155293793418e-05
38,2.5654080673120916e-05
39,2.5195195121341385e-05
40,2.2516376702697016e-05
41,1.914351923915092e-05
42,1.636841807339806e-05
43,1.44383129736525e-05
44,1.3113721252011601e-05
45,1.2140612852817867e-05
46,1.1357190487615298e-05
47,1.0674731129256543e-05
48,1.0037813808594365e-05
49,9.416704415343702e-06
50,8.797220289125107e-06
51,8.17684758658288e-06
52,7.5636089604813606e-06
53,6.966403361730045e-06
54,6.394796855602181e-06
55,5.858916210854659e-06
56,5.364094704418676e-06
57,4.912058557238197e-06
58,4.502809588302625e-06
59,4.136810275667813e-06
60,3.8089960980869364e-06
61,3.5168113754480146e-06
62,3.2571053907304304e-06
63,3.0261321626312565e-06
64,2.8210822620167164e-06
65,2.63790047938528e-06
66,2.474245320627233e-06
67,2.3292561763810227e-06
68,2.198595666413894e-06
69,2.0804482119274326e-06
70,1.973997314053122e-06
71,1.8778779349304386e-06
72,1.7918182493303902e-06
73,1.7126315015048021e-06
74,1.6410479020123603e-06
75,1.5759432017148356e-06
76,1.515728399681393e-06
77,1.4596616892958991e-06
78,1.4087891031522304e-06
79,1.3625157180285896e-06
80,1.3188464436098002e-06
81,1.2788568710675463e-06
82,1.241280187969096e-06
83,1.2062712357874261e-06
84,1.1730438700396917e-06
85,1.1431852726673242e-06
86,1.1149835472679115e-06
87,1.0883804861805402e-06
88,1.0630941460476606e-06
89,1.0390707529950305e-06
90,1.0169799224968301e-06
91,9.960763236449566e-07
92,9.756139434102806e-07
93,9.565056870997068e-07
94,9.380156029692444e-07
95,9.205862170347245e-07
96,9.049009577211109e-07
97,8.888144407137588e-07
98,8.734844527680252e-07
99,8.588918944951729e-07
100,8.452552719973028e-07
101,8.31849661153683e-07
102,8.188982860701799e-07
103,8.080367592810944e-07
104,7.952451710480091e-07
105,7.838086730771465e-07
106,7.723065209574997e-07
107,7.616704351676162e-07
108,7.514194066970958e-07
109,7.410726539092138e-07
110,7.325068622776598e-07
111,7.224184628285002e-07
112,7.140974958019797e-07
113,7.054169373077457e-07
114,6.961336111999117e-07
115,6.883680043756613e-07
116,6.806974397477461e-07
117,6.721741669935e-07
118,6.653870627815195e-07
119,6.577391786777298e-07
120,6.50169340588036e-07
121,6.431462793443643e-07
122,6.354863444357761e-07
123,6.290744636316958e-07
124,6.231977067727712e-07
125,6.162064778436616e-07
126,6.092728881412768e-07
127,6.035767796674918e-07
128,5.976992270007031e-07
129,5.911681455472717e-07
130,5.856292659700557e-07
131,5.789607939732377e-07
132,5.746969691244885e-07
133,5.685920427822566e-07
134,5.639458322548307e-07
135,5.574556780629791e-07
136,5.528905830942676e-07
137,5.478936486724706e-07
138,5.424633968686976e-07
139,5.382476615523046e-07
140,5.319463980413275e-07
141,5.282724941935157e-07
142,5.232174089542241e-07
143,5.191361651668558e-07
144,5.148511945662904e-07
145,5.101238116367313e-07
146,5.056623990640219e-07
147,5.012298061046749e-07
148,4.972951046511298e-07
149,4.931522994411353e-07
150,4.883285669166071e-07
151,4.856515261053573e-07
152,4.815847773897985e-07
153,4.768345434058574e-07
154,4.7328683194791665e-07
155,4.699968485510908e-07
156,4.650799496630498e-07
157,4.6183362201190903e-07
158,4.581374639656133e-07
159,4.5398982706501556e-07
160,4.5151315930525016e-07
161,4.483483451167558e-07
162,4.4378768393471546e-07
163,4.404261630952533e-07
164,4.3802396021419554e-07
165,4.3469736965562333e-07
166,4.313879458095471e-07
167,4.271533953215112e-07
168,4.24584754910029e-07
169,4.2203211592095613e-07
170,4.178458823389519e-07
171,4.1579662024560093e-07
172,4.130553747927479e-07
173,4.089138201379683e-07
174,4.0667308098818467e-07
175,4.042107661916816e-07
176,4.005842981769092e-07
177,3.97913765937119e-07
178,3.952571319132403e-07
179,3.9284884678636445e-07
180,3.892753284162609e-07
181,3.868924522976158e-07
182,3.8452228068308614e-07
183,3.819289133843995e-07
184,3.793461473833304e-07
185,3.7724757362411765e-07
186,3.7398118024611904e-07
187,3.714338845384191e-07
188,3.691324081955827e-07
189,3.6731438513015746e-07
190,3.650344524430693e-07
191,3.622940596414992e-07
192,3.6027066130372987e-07
193,3.5731528669202817e-07
194,3.555473142569099e-07
195,3.535534176535293e-07
196,3.513333410865016e-07
197,3.4888745403804933e-07
198,3.464500366590073e-07
199,3.4402219739604334e-07
