,EpochLoss
0,7.2259416580200195
1,4.581963539123535
2,2.4821736812591553
3,1.2143908739089966
4,0.4418362081050873
5,0.14301618933677673
6,0.09242404997348785
7,0.08782851696014404
8,0.08250045031309128
9,0.06939462572336197
10,0.0553383007645607
11,0.04251965880393982
12,0.0333118699491024
13,0.02660944312810898
14,0.020998718217015266
15,0.015160836279392242
16,0.011512450873851776
17,0.007096011191606522
18,0.004741316195577383
19,0.0027271141298115253
20,0.0019095938187092543
21,0.001162628992460668
22,0.0005890456959605217
23,0.000353146402630955
24,0.0002822875394485891
25,0.0002485445002093911
26,0.0002524348092265427
27,0.00022289245680440217
28,0.00015874234668444842
29,0.0001020266063278541
30,6.807277532061562e-05
31,5.264655555947684e-05
32,4.8059140681289136e-05
33,4.56813613709528e-05
34,4.1637766116764396e-05
35,3.629063212429173e-05
36,3.007381019415334e-05
37,2.3590007913298905e-05
38,1.8102782632922754e-05
39,1.4173080671753269e-05
40,1.1541073945409153e-05
41,9.759130989550613e-06
42,8.492155757267028e-06
43,7.535405984526733e-06
44,6.772324013581965e-06
45,6.133258466434199e-06
46,5.578771379077807e-06
47,5.083150426798966e-06
48,4.631622687156778e-06
49,4.21992353949463e-06
50,3.843565082206624e-06
51,3.501006858641631e-06
52,3.192001031493419e-06
53,2.9158366032788763e-06
54,2.669920377229573e-06
55,2.450891997796134e-06
56,2.25945996135124e-06
57,2.0893762666673865e-06
58,1.938947207236197e-06
59,1.806090835998475e-06
60,1.688992028903158e-06
61,1.5844373137952061e-06
62,1.4904164800100261e-06
63,1.4061201909498777e-06
64,1.3303045989232487e-06
65,1.261852844436362e-06
66,1.1994036412943387e-06
67,1.1423981050029397e-06
68,1.0902463145612273e-06
69,1.041946347868361e-06
70,9.987961675506085e-07
71,9.581308404449373e-07
72,9.202710202771414e-07
73,8.857995794642193e-07
74,8.542667728761444e-07
75,8.240550073423947e-07
76,7.968728823470883e-07
77,7.714906473665906e-07
78,7.471585945495463e-07
79,7.233716132759582e-07
80,7.024603974059573e-07
81,6.825125637988094e-07
82,6.632769213865686e-07
83,6.461481802944036e-07
84,6.292290208875784e-07
85,6.141554536043259e-07
86,5.990309546177741e-07
87,5.852592721566907e-07
88,5.721234401789843e-07
89,5.600879831035854e-07
90,5.477299396261515e-07
91,5.362203410186339e-07
92,5.255520818536752e-07
93,5.150109245732892e-07
94,5.060041416982131e-07
95,4.964061872669845e-07
96,4.876237653661519e-07
97,4.79652555895882e-07
98,4.710724113010656e-07
99,4.625858309736941e-07
100,4.553653241146094e-07
101,4.4799389797844924e-07
102,4.416449712607573e-07
103,4.3513514924597985e-07
104,4.284613623894984e-07
105,4.2256377241756127e-07
106,4.164944868989551e-07
107,4.1048630805562425e-07
108,4.04772748652249e-07
109,3.993496022758336e-07
110,3.9468696400035697e-07
111,3.8913069033696956e-07
112,3.8456585116364295e-07
113,3.805168091730593e-07
114,3.7580386447189085e-07
115,3.7207513514658785e-07
116,3.6697187510981166e-07
117,3.6331920227894443e-07
118,3.585244030546164e-07
119,3.5447010304778814e-07
120,3.509201462748024e-07
121,3.4669395176933904e-07
122,3.4344046184742183e-07
123,3.4021533679151617e-07
124,3.3654558251328126e-07
125,3.331382458782173e-07
126,3.2951996331576083e-07
127,3.26633056602077e-07
128,3.2282642337122525e-07
129,3.2022018103816663e-07
130,3.173996674377122e-07
131,3.1436411518370733e-07
132,3.108770840754005e-07
133,3.0835150255370536e-07
134,3.058439119740797e-07
135,3.028830519724579e-07
136,2.9993910288794723e-07
137,2.97955068617739e-07
138,2.9480762009370665e-07
139,2.9285396863087954e-07
140,2.8997246204198746e-07
141,2.8781269634237105e-07
142,2.8495949777607166e-07
143,2.8282710218263674e-07
144,2.802360086207045e-07
145,2.774221172785474e-07
146,2.755631101081235e-07
147,2.7348070830157667e-07
148,2.723520537983859e-07
149,2.7005634706256387e-07
150,2.6730032232080703e-07
151,2.6455472834641114e-07
152,2.632336304486671e-07
153,2.614515040022525e-07
154,2.5944257231458323e-07
155,2.5744398612914665e-07
156,2.5521839575048944e-07
157,2.532372320729337e-07
158,2.5173673634526494e-07
159,2.497733078143938e-07
160,2.4734671910664474e-07
161,2.461066799241962e-07
162,2.439322486225137e-07
163,2.4270778453683306e-07
164,2.4054838831943925e-07
165,2.3933901616146613e-07
166,2.3672224358506355e-07
167,2.3599886844749562e-07
168,2.3386779446354922e-07
169,2.3268658821962163e-07
170,2.315112368478367e-07
171,2.2916418629392865e-07
172,2.2776607977448293e-07
173,2.25666767050825e-07
174,2.245165973135954e-07
175,2.2360811158250726e-07
176,2.2176232050696854e-07
177,2.2086491924255824e-07
178,2.1855859699826397e-07
179,2.1720121878843202e-07
180,2.1679150563613803e-07
181,2.1473695710483298e-07
182,2.1410193085102946e-07
183,2.130002911826523e-07
184,2.1096072089221707e-07
185,2.096332423207059e-07
186,2.0878174211702571e-07
187,2.0675612688592082e-07
188,2.06149607606676e-07
189,2.0460460348203924e-07
190,2.037710089553002e-07
191,2.0247024679065362e-07
192,2.0046655890837428e-07
193,1.996454557229299e-07
194,1.9812149787412636e-07
195,1.973082675021942e-07
196,1.9579195509322744e-07
197,1.9498646963711508e-07
198,1.9394968830965809e-07
199,1.9338753531883413e-07
