,EpochLoss
0,7.203993797302246
1,4.570878028869629
2,2.467999219894409
3,1.1838713884353638
4,0.4089750051498413
5,0.1247338131070137
6,0.0853026956319809
7,0.08725348114967346
8,0.08347050100564957
9,0.07017037272453308
10,0.0522906519472599
11,0.03861908242106438
12,0.03137904033064842
13,0.0280961524695158
14,0.022241555154323578
15,0.015619862824678421
16,0.009012392722070217
17,0.0066411979496479034
18,0.005245653912425041
19,0.0034358776174485683
20,0.0022119360510259867
21,0.0012937962310388684
22,0.0006148761021904647
23,0.0004279796266928315
24,0.00024662382202222943
25,0.00015757048095110804
26,0.00012449560745153576
27,0.00010458956239745021
28,9.191135904984549e-05
29,8.483103010803461e-05
30,7.862397615099326e-05
31,7.148696022341028e-05
32,6.35215183137916e-05
33,5.282842175802216e-05
34,4.061158688273281e-05
35,3.046687925234437e-05
36,2.331014366063755e-05
37,1.8438957340549678e-05
38,1.512388826085953e-05
39,1.283110941585619e-05
40,1.1174419341841713e-05
41,9.899223186948802e-06
42,8.862748472893145e-06
43,7.996953172551002e-06
44,7.268742592714261e-06
45,6.655259767285315e-06
46,6.134389423095854e-06
47,5.683806648448808e-06
48,5.283956852508709e-06
49,4.919083494314691e-06
50,4.5763467824144755e-06
51,4.248837740306044e-06
52,3.931922037736513e-06
53,3.625662429840304e-06
54,3.330814706714591e-06
55,3.0511916975228814e-06
56,2.7893688638869207e-06
57,2.5482222554273903e-06
58,2.3285126644623233e-06
59,2.1311830096237827e-06
60,1.955294237632188e-06
61,1.7996438828049577e-06
62,1.662263798607455e-06
63,1.5416275118695921e-06
64,1.435411604688852e-06
65,1.3418820117294672e-06
66,1.2596566421052557e-06
67,1.1869404943354311e-06
68,1.1224980198676349e-06
69,1.065181209014554e-06
70,1.013871383293008e-06
71,9.681274377726368e-07
72,9.268599114875542e-07
73,8.896565191207628e-07
74,8.557812520848529e-07
75,8.250279392996163e-07
76,7.968371278366249e-07
77,7.710320346632216e-07
78,7.473182677131263e-07
79,7.254306524373533e-07
80,7.051336297081434e-07
81,6.862505301796773e-07
82,6.686635174446565e-07
83,6.522548119392013e-07
84,6.368770755216246e-07
85,6.225302513485076e-07
86,6.088316126806603e-07
87,5.960165481155855e-07
88,5.838496690557804e-07
89,5.724191396438982e-07
90,5.615190161734063e-07
91,5.513257974598673e-07
92,5.414271981862839e-07
93,5.319998308550566e-07
94,5.231323143561895e-07
95,5.146476951267687e-07
96,5.065460300102131e-07
97,4.984738097846275e-07
98,4.911381097372214e-07
99,4.837434630644566e-07
100,4.769380552716029e-07
101,4.701325906353304e-07
102,4.6376905515899125e-07
103,4.5749382593385235e-07
104,4.5163113782109576e-07
105,4.4588620085050934e-07
106,4.40406466850618e-07
107,4.349560924765683e-07
108,4.2962366819665476e-07
109,4.2458574966985907e-07
110,4.1972467101913935e-07
111,4.1483406221232144e-07
112,4.1014970975084e-07
113,4.057010301039554e-07
114,4.0139966017704864e-07
115,3.970098987338133e-07
116,3.929442300432129e-07
117,3.888490880399331e-07
118,3.848717540222424e-07
119,3.8115962297524675e-07
120,3.773295986775338e-07
121,3.736763289907685e-07
122,3.7005250419497315e-07
123,3.666939107915823e-07
124,3.631879508247948e-07
125,3.5988821878163435e-07
126,3.5688310617842944e-07
127,3.534655377279705e-07
128,3.504309802337957e-07
129,3.47278557910613e-07
130,3.4412616400913976e-07
131,3.4132725090785243e-07
132,3.384105298209761e-07
133,3.357000082360173e-07
134,3.3293059686911874e-07
135,3.301022104551521e-07
136,3.2753905543358997e-07
137,3.248579787396011e-07
138,3.2235371349997877e-07
139,3.198199465259677e-07
140,3.173451545990247e-07
141,3.147819711557531e-07
142,3.1245443210536905e-07
143,3.099501384440373e-07
144,3.07652101128042e-07
145,3.053540922337561e-07
146,3.032033077943197e-07
147,3.0093468694758485e-07
148,2.9878398777327675e-07
149,2.9660375844287046e-07
150,2.9462981387951004e-07
151,2.925085311744624e-07
152,2.9041669336038467e-07
153,2.884132754843449e-07
154,2.864098007648863e-07
155,2.8440638288884657e-07
156,2.8252080142010527e-07
157,2.806941381550132e-07
158,2.7874961006091326e-07
159,2.768935019048513e-07
160,2.751551733126689e-07
161,2.733285384692863e-07
162,2.7156079340784345e-07
163,2.6982252165907994e-07
164,2.6814316811396566e-07
165,2.6646378614714195e-07
166,2.6472551439837844e-07
167,2.6295774091522617e-07
168,2.6136677888644044e-07
169,2.597463435449754e-07
170,2.58184854828869e-07
171,2.565054728620453e-07
172,2.55032347240558e-07
173,2.534708301027422e-07
174,2.519387862776057e-07
175,2.5037726913978986e-07
176,2.489041435183026e-07
177,2.475194094131439e-07
178,2.4613467530798516e-07
179,2.4460263148284866e-07
180,2.432178405342711e-07
181,2.4174474333449325e-07
182,2.4047781721492356e-07
183,2.390931115314743e-07
184,2.3770834900460613e-07
185,2.3635307400127203e-07
186,2.351156496160911e-07
187,2.3373090130007768e-07
188,2.3240507118771347e-07
189,2.312265792170365e-07
190,2.2993022241735162e-07
191,2.286928122430254e-07
192,2.273964412324858e-07
193,2.263652447709319e-07
194,2.250099697675978e-07
195,2.238609226878907e-07
196,2.2265292898282496e-07
197,2.2138605970667413e-07
198,2.2023699841611233e-07
199,2.1905850644543534e-07
