,EpochLoss
0,7.199977397918701
1,4.46907901763916
2,2.4427809715270996
3,1.100716233253479
4,0.34588631987571716
5,0.11449722200632095
6,0.07434020936489105
7,0.0678367093205452
8,0.054846301674842834
9,0.03445122763514519
10,0.013834301382303238
11,0.00499902805313468
12,0.001821073004975915
13,0.0005036558723077178
14,0.0004828343808185309
15,0.000286463531665504
16,0.00020842032972723246
17,0.00013531748845707625
18,7.579701923532411e-05
19,3.3458851248724386e-05
20,1.7480433598393574e-05
21,1.1468104275991209e-05
22,9.352202141599264e-06
23,8.714740943105426e-06
24,8.286743650387507e-06
25,7.670316335861571e-06
26,7.173077847255627e-06
27,7.251901934068883e-06
28,8.330664059030823e-06
29,1.0850332728296053e-05
30,1.411826360708801e-05
31,1.481642721046228e-05
32,1.2379263353068382e-05
33,1.0195568393100984e-05
34,9.019812750921119e-06
35,7.963006282807328e-06
36,6.7030368882115e-06
37,5.484547273226781e-06
38,4.491299478104338e-06
39,3.7141319353395374e-06
40,3.088855237365351e-06
41,2.572811808931874e-06
42,2.148622797903954e-06
43,1.805997726478381e-06
44,1.534914986223157e-06
45,1.3237452094472246e-06
46,1.1587601420615101e-06
47,1.0318212844140362e-06
48,9.306599508818181e-07
49,8.495609904457524e-07
50,7.835681117285276e-07
51,7.259909011736454e-07
52,6.782953505535261e-07
53,6.350087460305076e-07
54,5.975068688712781e-07
55,5.622246703751443e-07
56,5.309071298142953e-07
57,5.021223614676273e-07
58,4.750309301471134e-07
59,4.512706368586805e-07
60,4.282402699118393e-07
61,4.0805500134410977e-07
62,3.8858641460137733e-07
63,3.7289748888724716e-07
64,3.5532630704437906e-07
65,3.412931164348265e-07
66,3.272604089943343e-07
67,3.1558499813399976e-07
68,3.041456011487753e-07
69,2.9294156433934404e-07
70,2.8385932182573015e-07
71,2.747776761680143e-07
72,2.6782018380799855e-07
73,2.5850789597825496e-07
74,2.5155611638183473e-07
75,2.43901297380944e-07
76,2.3790221348463092e-07
77,2.321446572750574e-07
78,2.2662936771666864e-07
79,2.2112133990503935e-07
80,2.1656482829257584e-07
81,2.1201663003012072e-07
82,2.077132421618444e-07
83,2.0318420013154537e-07
84,1.9960754116254975e-07
85,1.955698110123194e-07
86,1.9224991376631806e-07
87,1.879976423424523e-07
88,1.8493459208457352e-07
89,1.8258909051382943e-07
90,1.7884094916098547e-07
91,1.758096885851046e-07
92,1.7278979669299588e-07
93,1.7025178067342495e-07
94,1.6796012403119676e-07
95,1.6520675671927165e-07
96,1.6293519422561076e-07
97,1.6090935162083042e-07
98,1.5865759905864252e-07
99,1.566508558425994e-07
100,1.5512465267875086e-07
101,1.5219340809835558e-07
102,1.5092123817339598e-07
103,1.4918602175839624e-07
104,1.4722361640906456e-07
105,1.447977382440513e-07
106,1.4332233888580959e-07
107,1.4232615797027393e-07
108,1.4039447648883652e-07
109,1.3917717467393231e-07
110,1.3702391754577548e-07
111,1.351130265447864e-07
112,1.3415160537988413e-07
113,1.324896743426507e-07
114,1.317760620622721e-07
115,1.2965426776645472e-07
116,1.284808774926205e-07
117,1.266060394300439e-07
118,1.2591527820404735e-07
119,1.249937042757665e-07
120,1.2384138869947492e-07
121,1.2269403271147894e-07
122,1.2155126682955597e-07
123,1.1994143278570846e-07
124,1.1927890852803102e-07
125,1.1767806995521823e-07
126,1.1655233578267143e-07
127,1.1590203996547643e-07
128,1.1407703226495869e-07
129,1.129628088847312e-07
130,1.1138075706185191e-07
131,1.1074514105757771e-07
132,1.1011236722424655e-07
133,1.0971945840765329e-07
134,1.083863025996834e-07
135,1.0752788881518427e-07
136,1.0714349940599277e-07
137,1.0629060653855049e-07
138,1.0567626418378495e-07
139,1.0482919066134855e-07
140,1.0374886016961682e-07
141,1.0243520875974355e-07
142,1.0135969574776027e-07
143,1.0075816447852048e-07
144,9.992319149887408e-08
145,9.909047093970003e-08
146,9.82599743792889e-08
147,9.743153839281149e-08
148,9.684081447858262e-08
149,9.625237140653553e-08
150,9.566571890218256e-08
151,9.53167003103772e-08
152,9.449815507878156e-08
153,9.391696664806659e-08
154,9.239501252977789e-08
155,9.205322726302256e-08
156,9.194878458629319e-08
157,9.137443868212358e-08
158,9.103752773853557e-08
159,8.952361696401567e-08
160,8.824691377640193e-08
161,8.791460004431428e-08
162,8.781946547742336e-08
163,8.725410083343377e-08
164,8.645432814091691e-08
165,8.589199040898166e-08
166,8.556642683288374e-08
167,8.453505273564588e-08
168,8.397616824140641e-08
169,8.341871193806583e-08
170,8.286227171083738e-08
171,8.25428685402585e-08
172,8.198879442034013e-08
173,8.12000777727917e-08
174,8.088395730965203e-08
175,8.033303799948044e-08
176,8.00189567939924e-08
177,7.947019753373752e-08
178,7.821528669182953e-08
179,7.790430345266941e-08
180,7.735850715562265e-08
181,7.704926474616514e-08
182,7.650533717651342e-08
183,7.596214146587954e-08
184,7.54200613073408e-08
185,7.464301887694091e-08
186,7.43380681456074e-08
187,7.403419743923223e-08
188,7.349522945787612e-08
189,7.342860897097125e-08
190,7.312701910677788e-08
191,7.306193339218225e-08
192,7.205473906424231e-08
193,7.128404178047276e-08
194,7.051401240687483e-08
195,7.021608894319797e-08
196,6.991888312768424e-08
197,6.985810330206732e-08
198,6.97979771757673e-08
199,6.973844079993796e-08
