,EpochLoss
0,7.254179954528809
1,4.6011881828308105
2,2.4926528930664062
3,1.2175709009170532
4,0.4458217918872833
5,0.12982651591300964
6,0.07438303530216217
7,0.07592621445655823
8,0.07878454029560089
9,0.07474693655967712
10,0.06254266947507858
11,0.04792347922921181
12,0.04010893404483795
13,0.030366411432623863
14,0.018852416425943375
15,0.011522547341883183
16,0.010886282660067081
17,0.010626552626490593
18,0.009146797470748425
19,0.006017653271555901
20,0.0026321192272007465
21,0.000750491104554385
22,0.0005649800295941532
23,0.001083429902791977
24,0.001060993759892881
25,0.00034441499155946076
26,0.00011644530604826286
27,0.00012026556942146271
28,0.0001393326820107177
29,0.00017438539362046868
30,0.0002038111415458843
31,0.0001605338475201279
32,9.270406007999554e-05
33,5.3888554248260334e-05
34,3.5245015169493854e-05
35,2.4531913368264213e-05
36,1.8065788026433438e-05
37,1.4348505828820635e-05
38,1.2281302588235121e-05
39,1.1061439181503374e-05
40,1.0153930816159118e-05
41,9.251880328520201e-06
42,8.25111783342436e-06
43,7.1976432991505135e-06
44,6.185849542816868e-06
45,5.289437922328943e-06
46,4.535318112175446e-06
47,3.9175756683107466e-06
48,3.41537543135928e-06
49,3.0093481200310634e-06
50,2.679160843399586e-06
51,2.4094877062452724e-06
52,2.1883022327529034e-06
53,2.0067598143214127e-06
54,1.8566659036878264e-06
55,1.7307662574239657e-06
56,1.6243658365056035e-06
57,1.5328390645663603e-06
58,1.454676635148644e-06
59,1.3860510534868808e-06
60,1.32634113469976e-06
61,1.2717734989564633e-06
62,1.222940568368358e-06
63,1.1789261407102458e-06
64,1.137281401497603e-06
65,1.0991002454829868e-06
66,1.0622933359627496e-06
67,1.0283094979968155e-06
68,9.959995850294945e-07
69,9.656233714849805e-07
70,9.360291528537346e-07
71,9.078225957637187e-07
72,8.807834888102661e-07
73,8.560970741200435e-07
74,8.316561661558808e-07
75,8.072210562204418e-07
76,7.853896022425033e-07
77,7.634469056938542e-07
78,7.435110092046671e-07
79,7.23691073289956e-07
80,7.053918693600281e-07
81,6.867243200758821e-07
82,6.696785703752539e-07
83,6.535418037856289e-07
84,6.387749635905493e-07
85,6.244239330044365e-07
86,6.100108862483467e-07
87,5.967049219179899e-07
88,5.840248604727094e-07
89,5.712544179914403e-07
90,5.597996164397046e-07
91,5.484760663421184e-07
92,5.38452127329947e-07
93,5.283066002448322e-07
94,5.17563819357747e-07
95,5.092784931548522e-07
96,5.003830665373243e-07
97,4.913415523333242e-07
98,4.833277102989086e-07
99,4.751588278395502e-07
100,4.673004809774284e-07
101,4.609278505540715e-07
102,4.53207803730038e-07
103,4.4672881926999253e-07
104,4.3983899900013057e-07
105,4.3394797444307187e-07
106,4.274043874374911e-07
107,4.213816282572225e-07
108,4.1587844634705107e-07
109,4.106557582872483e-07
110,4.0571225667918043e-07
111,4.0080868757286225e-07
112,3.950018481191364e-07
113,3.9064579482328554e-07
114,3.8585380934819113e-07
115,3.808582960118656e-07
116,3.766030545193644e-07
117,3.728488309207023e-07
118,3.6818147464146023e-07
119,3.6495501376521133e-07
120,3.605767631142953e-07
121,3.5646030482894275e-07
122,3.5260313779872376e-07
123,3.4900517675851006e-07
124,3.4519334235483257e-07
125,3.418749372485763e-07
126,3.3857753578558913e-07
127,3.3529875054227887e-07
128,3.3180424452439183e-07
129,3.287995014034095e-07
130,3.2628295798531326e-07
131,3.2260572879749816e-07
132,3.1965157631930197e-07
133,3.167134252635151e-07
134,3.140261526368704e-07
135,3.108819726094225e-07
136,3.079882731071848e-07
137,3.051080454952171e-07
138,3.024775310223049e-07
139,2.9985974947521754e-07
140,2.9725407557634753e-07
141,2.9418933422675764e-07
142,2.925504816175817e-07
143,2.899805622291751e-07
144,2.869505806302186e-07
145,2.844028870185866e-07
146,2.816300650465564e-07
147,2.800457536977774e-07
148,2.780001295832335e-07
149,2.7596425411502423e-07
150,2.732301993546571e-07
151,2.71684513108994e-07
152,2.6873328806686914e-07
153,2.676764836451184e-07
154,2.659204483279609e-07
155,2.639373519741639e-07
156,2.610200908748084e-07
157,2.5905345069077157e-07
158,2.5756571631063707e-07
159,2.556138554155041e-07
160,2.5390539803993306e-07
161,2.5220404609171965e-07
162,2.5050979957086383e-07
163,2.485865309154178e-07
164,2.4666985609655967e-07
165,2.4452435809507733e-07
166,2.4332803150173277e-07
167,2.4190225644815655e-07
168,2.400113032763329e-07
169,2.3812596339212178e-07
170,2.3695406525803264e-07
171,2.3578824936976162e-07
172,2.332133135496406e-07
173,2.322936580867463e-07
174,2.311442415248166e-07
175,2.2834990431874758e-07
176,2.2744696082099836e-07
177,2.2654867848359572e-07
178,2.249483799232621e-07
179,2.2358896956120589e-07
180,2.2223410667265853e-07
181,2.204126161586828e-07
182,2.1883154488477885e-07
183,2.177264661895606e-07
184,2.1662584970272292e-07
185,2.1505823610823427e-07
186,2.1373058700646652e-07
187,2.1264344240989885e-07
188,2.113243908752338e-07
189,2.1000906258450414e-07
190,2.082265382341575e-07
191,2.073912952482715e-07
192,2.0655946286751714e-07
193,2.054959082897767e-07
194,2.039643334228458e-07
195,2.0267258094008866e-07
196,2.0138433853844617e-07
197,2.003355064061907e-07
198,1.9928990013795556e-07
199,1.977765009542054e-07
