,EpochLoss
0,7.18873929977417
1,4.573196887969971
2,2.4719831943511963
3,1.1975120306015015
4,0.4323250651359558
5,0.13712593913078308
6,0.09053752571344376
7,0.09025467187166214
8,0.08703991025686264
9,0.0776945948600769
10,0.06468603014945984
11,0.04878653585910797
12,0.035972680896520615
13,0.027435094118118286
14,0.023557649925351143
15,0.02089325711131096
16,0.017819207161664963
17,0.011749275028705597
18,0.006328578572720289
19,0.0038880284409970045
20,0.002198491944000125
21,0.0010102251544594765
22,0.0007570959278382361
23,0.000838056264910847
24,0.000657880213111639
25,0.000567112525459379
26,0.0006047739298082888
27,0.00043478154111653566
28,0.00024088582722470164
29,0.00017128736362792552
30,0.00014099114923737943
31,0.00012137745216023177
32,9.969709208235145e-05
33,7.660546543775126e-05
34,5.8222223742632195e-05
35,4.458341209101491e-05
36,3.44848886015825e-05
37,2.6940828320221044e-05
38,2.118934025929775e-05
39,1.678329863352701e-05
40,1.345305827271659e-05
41,1.0974235010507982e-05
42,9.138010682363529e-06
43,7.766288035782054e-06
44,6.719813427480403e-06
45,5.899033112655161e-06
46,5.236292963672895e-06
47,4.68715006718412e-06
48,4.222523784846999e-06
49,3.8239954847085755e-06
50,3.47849891113583e-06
51,3.1769102406542515e-06
52,2.912313220804208e-06
53,2.6789700768858893e-06
54,2.4721452973608393e-06
55,2.2877788978803437e-06
56,2.122929572578869e-06
57,1.9747722035390325e-06
58,1.8415129261484253e-06
59,1.721091166473343e-06
60,1.612182359167491e-06
61,1.513078814241453e-06
62,1.4234863101592055e-06
63,1.342080167887616e-06
64,1.2680354757321766e-06
65,1.200852466354263e-06
66,1.1399712320780964e-06
67,1.0845379847523873e-06
68,1.0340520475438097e-06
69,9.88042870631034e-07
70,9.463333299208898e-07
71,9.081579150915786e-07
72,8.733400136406999e-07
73,8.414378953602863e-07
74,8.124519013108511e-07
75,7.854980026422709e-07
76,7.608416012772068e-07
77,7.381882483059599e-07
78,7.173316021180653e-07
79,6.979771001169865e-07
80,6.799776883781306e-07
81,6.632449185417499e-07
82,6.476608973571274e-07
83,6.331079021038022e-07
84,6.197332709234615e-07
85,6.068593165764469e-07
86,5.947513272985816e-07
87,5.837038088429836e-07
88,5.72980354718311e-07
89,5.629638621940103e-07
90,5.534187152989034e-07
91,5.444921953312587e-07
92,5.360076329452568e-07
93,5.278470212033426e-07
94,5.200988084652636e-07
95,5.127337772137253e-07
96,5.054569101048401e-07
97,4.987987836102548e-07
98,4.92258436679549e-07
99,4.859243745158892e-07
100,4.797670385414676e-07
101,4.7419891302524775e-07
102,4.684539760546613e-07
103,4.630921068837779e-07
104,4.5784793201164575e-07
105,4.5275120896803855e-07
106,4.4791960362999816e-07
107,4.432057210124185e-07
108,4.384625071907067e-07
109,4.3398441107456165e-07
110,4.2956514789693756e-07
111,4.253816712207481e-07
112,4.2116866438846046e-07
113,4.171913303707697e-07
114,4.131845798838185e-07
115,4.093840573204943e-07
116,4.0564245296081936e-07
117,4.019891832740541e-07
118,3.9842439036874566e-07
119,3.948889855109883e-07
120,3.9135355223152146e-07
121,3.879949304064212e-07
122,3.847541734103288e-07
123,3.8157224935275735e-07
124,3.7827257415301574e-07
125,3.751790700334823e-07
126,3.722034307429567e-07
127,3.693750727506995e-07
128,3.6607536912924843e-07
129,3.6339437770038785e-07
130,3.605954645991005e-07
131,3.579144447485305e-07
132,3.550271969743335e-07
133,3.5234614870205405e-07
134,3.4966512885148404e-07
135,3.4695460726652527e-07
136,3.444503136051935e-07
137,3.419460767872806e-07
138,3.3944178312594886e-07
139,3.370553827153344e-07
140,3.345511174757121e-07
141,3.3234147167604533e-07
142,3.2977825981106434e-07
143,3.2753914069871826e-07
144,3.2512323855371505e-07
145,3.229430660667276e-07
146,3.208218117833894e-07
147,3.1858263582762447e-07
148,3.164908548569656e-07
149,3.143990454645973e-07
150,3.1227773433784023e-07
151,3.1003861522549414e-07
152,3.081825070694322e-07
153,3.06179060771683e-07
154,3.041166962702846e-07
155,3.022605596925132e-07
156,3.0025714181647345e-07
157,2.982831688314036e-07
158,2.96368114049983e-07
159,2.9442361437759246e-07
160,2.926853142071195e-07
161,2.908881526764162e-07
162,2.890320160986448e-07
163,2.87264271037202e-07
164,2.856438356957369e-07
165,2.8393503725965274e-07
166,2.821378188855306e-07
167,2.8048796707480506e-07
168,2.7883805842066067e-07
169,2.7712923156286706e-07
170,2.75508796221402e-07
171,2.737999693636084e-07
172,2.7229742727286066e-07
173,2.707358817133354e-07
174,2.6908600148090045e-07
175,2.675539292340545e-07
176,2.6602191383062745e-07
177,2.6440145006745297e-07
178,2.6304616085326415e-07
179,2.6148467213715776e-07
180,2.600704647193197e-07
181,2.5865625730148167e-07
182,2.5721260499267373e-07
183,2.557689526838658e-07
184,2.544136918913864e-07
185,2.530584026771976e-07
186,2.5167364015032945e-07
187,2.5031837935785006e-07
188,2.489925634563406e-07
189,2.4757835603850253e-07
190,2.463114867623517e-07
191,2.450740623771708e-07
192,2.438071362576011e-07
193,2.4251082209048036e-07
194,2.4124389597091067e-07
195,2.398886351784313e-07
196,2.3871010057519015e-07
197,2.3750217792439798e-07
198,2.3626472511750762e-07
199,2.349978558413568e-07
